,packaging,material,price,absorbant,size,leak,comfort,asin
0,0,0,0,0,0,0,0,B07BFMNKBJ
1,0,0,0,0,0,0,0,B07BFMNKBJ
2,0,0,0,0,0,0,0,B07BFMNKBJ
3,0,0,0,0,0,0,0,B07BFMNKBJ
4,0,0,0,0,0,0,0,B07BFMNKBJ
5,0,0,0,0,0,0,0,B07BFMNKBJ
6,0,0,0,0,0,0,0,B07BFMNKBJ
7,0,0,0,0,0,0,0,B07BFMNKBJ
8,0,0,0,0,0,0,0,B07BFMNKBJ
9,0,0,0,0,0,0,0,B07BFMNKBJ
10,0,0,0,0,0,0,0,B07BFMNKBJ
11,0,0,0,0,0,0,0,B07BFMNKBJ
12,0,0,0,0,0,0,0,B07BFMNKBJ
13,0,0,0,0,0,0,0,B07BFMNKBJ
14,0,0,0,0,0,0,0,B07BFMNKBJ
15,0,0,0,0,0,0,0,B07BFMNKBJ
16,0,0,0,0,0,0,0,B07BFMNKBJ
17,0,0,0,0,0,0,0,B07BFMNKBJ
18,0,0,0,0,0,0,0,B07BFMNKBJ
19,0,0,0,0,0,0,0,B07BFMNKBJ
20,0,0,0,0,0,0,0,B07BFMNKBJ
21,0,0,0,0,0,0,0,B07BFMNKBJ
22,0,0,0,0,0,0,0,B07BFMNKBJ
23,0,0,0,0,0,0,0,B07YQG6J8C
24,0,0,0,0,0,0,0,B07YQG6J8C
25,0,0,0,0,0,0,0,B07YQG6J8C
26,0,0,0,0,0,0,0,B07YQG6J8C
27,0,0,0,0,0,0,0,B07YQG6J8C
28,0,0,0,0,0,0,0,B07YQG6J8C
29,0,0,0,0,0,0,0,B07YQG6J8C
30,0,0,0,0,0,0,0,B07YQG6J8C
31,0,0,0,0,0,0,0,B07YQG6J8C
32,0,0,0,0,0,0,0,B07YQG6J8C
33,0,0,0,0,0,0,0,B07YQG6J8C
34,0,0,0,0,0,0,0,B07YQG6J8C
35,0,0,0,0,0,0,0,B07YQG6J8C
36,0,0,0,0,0,0,0,B07YQG6J8C
37,0,0,0,0,0,0,0,B07YQG6J8C
38,0,0,0,0,0,0,0,B07YQG6J8C
39,0,0,0,0,0,0,0,B07YQG6J8C
40,0,0,0,0,0,0,0,B07YQG6J8C
41,0,0,0,0,0,0,0,B07YQG6J8C
42,0,0,0,0,0,0,0,B07YQG6J8C
