asin,price_pos,leak_pos,absorb_pos,comfort_pos,material_pos,package_pos,size_pos,price_neg,leak_neg,absorb_neg,comfort_neg,material_neg,package_neg,size_neg
B00BSYD6JY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B00BVZSZMS,0,2,0,4,0,0,1,0,0,0,0,0,0,0
B00C4UE9TC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B00CE6GXNG,3,0,4,6,0,0,0,0,0,0,0,0,0,0
B00CE6R2B8,0,0,3,4,2,0,0,0,0,0,0,0,0,0
B00CP4FKVS,1,0,0,2,0,0,0,0,0,0,0,0,0,0
B00CSBLPBW,1,0,0,2,0,0,0,0,0,0,0,0,0,0
B00DBWR7RS,2,0,0,2,0,0,0,0,0,0,0,0,0,0
B00DBWRE2G,1,2,13,6,0,0,0,0,0,0,0,0,0,0
B00DBWRIZY,5,0,3,4,1,2,5,0,0,0,0,0,0,0
B00DBWRMP0,9,1,17,21,7,7,4,0,0,0,0,0,0,0
B00DPXXM5E,5,8,4,11,1,1,1,0,2,0,0,0,0,0
B00DZ00ET4,6,5,31,23,7,4,1,0,0,0,3,0,0,0
B00E4KZQC4,0,0,0,4,0,1,0,0,0,0,0,0,2,0
B00ET7PFFA,1,0,3,0,0,0,0,0,0,0,0,0,0,0
B00F2GZSUY,0,0,0,0,0,0,1,0,0,0,0,0,0,0
B00F2LNMPW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B00FV2PU2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B00GA7T43G,0,2,0,4,0,0,0,0,0,0,0,0,0,0
B00GESJOMM,2,2,8,0,0,0,0,0,0,0,0,0,0,0
B00GESKXLS,2,2,0,0,0,0,0,0,0,0,0,0,0,0
B00GEUDZYI,1,0,0,3,0,0,0,0,0,0,0,0,0,0
B00GEUGOAA,0,0,9,6,0,0,0,0,0,0,0,0,0,0
B00GEUIP34,0,0,3,2,0,0,0,0,0,0,0,0,1,0
B00GY338Z6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B00HI1B7J2,1,2,3,2,1,0,0,0,0,0,0,0,0,0
B00I83ZD2Q,0,2,1,0,0,0,0,0,0,0,0,0,0,0
B00I98F68G,11,0,9,13,1,2,1,0,0,0,0,0,1,0
B00J4X3PQK,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B00J5RI038,2,0,0,0,0,1,2,0,0,0,0,0,0,0
B00J9FQYVG,1,0,8,2,0,1,0,0,0,0,0,0,0,0
B00J9FVKVK,1,0,0,2,0,0,0,0,0,0,0,0,0,0
B00J9G2V2Q,0,2,6,4,0,0,1,0,0,0,0,0,0,0
B00KDQDCEW,0,6,0,0,3,0,8,0,0,0,0,0,0,0
B00KH7CLA8,0,2,3,4,0,0,2,0,0,0,0,0,0,0
B00KQW4WNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
