asin,thumbnail,title,avg_rating,brand,category,num_reviews,price,unities,price_score,leak_score,absorb_score,comfort_score,material_score,package_score,size_score,unity_price,price_rank,leak_rank,absorb_rank,comfort_rank,material_rank,package_rank,size_rank
https://www.amazon.fr/dp/B079LVKBYQ,https://m.media-amazon.com/images/I/81R2wqPiWvL._AC_UL320_.jpg,"Duo Saalt Cup - La plus agréable des coupes menstruelles - Meilleure coupe pour les femmes actives - Silicone doux, souple, réutilisable et de qualité médicale - Fabriquée aux États-Unis",4.4,saalt,Tampons,1580.0,41.0,,2.9645688502879097,10.53893352482658,2.6923658033169198,21.20954131908121,35.43356740174836,7.969361582927561,2.37421021067938,,294.0,183.0,418.5,87.0,388.0,387.5,172.0
https://www.amazon.fr/dp/B00M0RZH3G,https://m.media-amazon.com/images/I/51Gm477ExrL._AC_UL320_.jpg,Liberty Cup Coupe Menstruelle Taille 2,4.4,Cup,Tampons,11.0,16.99,,0.0,7.0897305368159,2.6923658033169198,5.9157449467552,35.43356740174836,7.969361582927561,0.0,,445.0,418.5,418.5,485.5,388.0,387.5,430.0
https://www.amazon.fr/dp/B079QDZ2LH,https://m.media-amazon.com/images/I/6187BW1lUeL._AC_UL320_.jpg,"Me Luna Coupe menstruelle Classic, boule, transparent, taille S",4.6,LUNA,Tampons,8.0,11.95,,0.0,7.0897305368159,2.6923658033169198,13.80340487576213,35.43356740174836,7.969361582927561,2.65304211935365,,445.0,418.5,418.5,147.0,388.0,387.5,166.0
https://www.amazon.fr/dp/B08LFP63NP,https://m.media-amazon.com/images/I/51ByRjQmp9L._AC_UL320_.jpg,ELANEE Coupe menstruelle Taille 2 - Facile à retirer grâce à la languette de traction discrète - Capacité de 33 ml (741-00),3.5,Elanee,Tampons,72.0,14.32,,15.26861604947182,7.0897305368159,2.6923658033169198,8.94530864932779,75.50497321508499,7.969361582927561,9.51070765385025,,93.0,418.5,418.5,279.0,11.0,387.5,70.0
https://www.amazon.fr/dp/B0CBFZMSD3,https://m.media-amazon.com/images/I/51xNlFHD8aL._AC_UL320_.jpg,"Coupe menstruelle douce, design premium super doux et flexible, coupe menstruelle réutilisable en silicone, à porter pendant 12 heures, petit violet",,nijosa,Tampons,,11.42,,,,,,,,,,,,,,,,
https://www.amazon.fr/dp/B07DPMP7G1,https://m.media-amazon.com/images/I/819FHmAS60L._AC_UL320_.jpg,"Coupelle menstruelle Loovara sans silicone (100% caoutchouc naturel) avec nettoyant (150 ml) et sac, taille L, emballage économique",3.9,Loovara,Tampons,290.0,7.21,,7.6979429043284195,11.56791421343494,7.12331063049694,9.73426529134078,39.76271915021689,7.969361582927561,3.08249454940277,,172.0,152.0,211.0,246.0,175.0,387.5,153.0
https://www.amazon.fr/dp/B0CL3VMWJR,https://m.media-amazon.com/images/I/51JZ0W6VrdL._AC_UL320_.jpg,FENYW Femdisc - Coupe menstruelle réutilisable - Coupe menstruelle réutilisable - Sans BPA - Alternative aux tampons (rouge L + violet S),5.0,FENYW,Tampons,1.0,12.99,,94.51005460313027,7.0897305368159,2.6923658033169198,5.9157449467552,35.43356740174836,7.969361582927561,16.81988908803728,,2.0,418.5,418.5,485.5,388.0,387.5,45.0
https://www.amazon.fr/dp/B0CL56VDZV,https://m.media-amazon.com/images/I/51ptMIwBCtL._AC_UL320_.jpg,"FENYW Disque menstruel Femdisc, disque menstruel réutilisable en silicone médical, disques menstruels femdisc cup menstruelle tampons souples alternatifs et OB (rouge L + noir S)",4.0,FENYW,Tampons,2.0,8.99,,0.0,7.0897305368159,2.6923658033169198,5.9157449467552,57.78965935069109,7.969361582927561,0.0,,445.0,418.5,418.5,485.5,48.5,387.5,430.0
https://www.amazon.fr/dp/B0CMX83WXS,https://m.media-amazon.com/images/I/71Wp5nZsoIL._AC_UL320_.jpg,"Nizirioo 2 Pièces Coupe Menstruelle, Disque Menstruel, Coupe Menstruelle Souple, Ensemble De Coupe Menstruellecoupe Menstruelle Pour Les Soins Féminins Lavable Et Réutilisable (S/L)",,Nizirioo,Tampons,,10.99,,,,,,,,,,,,,,,,
https://www.amazon.fr/dp/B0CL56DM4L,https://m.media-amazon.com/images/I/615MruRZ+EL._AC_UL320_.jpg,"FENYW Disque menstruel Femdisc, disque menstruel étanche, disque menstruel en silicone médical, femdisc cup menstruelle tampons souples alternatifs et OB (violet L + noir S)",4.5,FENYW,Tampons,2.0,8.99,,59.62920546077797,7.0897305368159,2.6923658033169198,5.9157449467552,35.43356740174836,7.969361582927561,10.6121684774146,,11.0,418.5,418.5,485.5,388.0,387.5,56.0
https://www.amazon.fr/dp/B079Q8ZWC9,https://m.media-amazon.com/images/I/61kUcfvOz5L._AC_UL320_.jpg,"Me Luna Coupe menstruelle Classic, bague, transparent, taille XL",4.0,LUNA,Tampons,33.0,12.04,,0.0,7.0897305368159,2.6923658033169198,8.37308873402586,42.39844724606775,7.969361582927561,1.65307242655982,,445.0,418.5,418.5,309.0,135.0,387.5,210.0
https://www.amazon.fr/dp/B079Q934P2,https://m.media-amazon.com/images/I/614DbNSzQTL._AC_UL320_.jpg,Me Luna Coupe Menstruelle Soft Anneau Rose Taille Shorty S,4.3,LUNA,Tampons,38.0,11.06,,0.0,10.557146415305429,2.6923658033169198,8.28106071426703,42.1376110931244,7.969361582927561,0.0,,445.0,182.0,418.5,312.0,139.5,387.5,430.0
https://www.amazon.fr/dp/B071W8R7GW,https://m.media-amazon.com/images/I/71Nna1gJo1L._AC_UL320_.jpg,"Merula Cup mermaid (bleu) ""taille unique"" - Coupe menstruelle en silicone à usage médical",4.1,Merula,Tampons,157.0,40.3,,0.0,20.890361354428318,2.6923658033169198,7.62741259354718,40.284968152050446,7.969361582927561,2.30290169816984,,445.0,54.0,418.5,348.0,163.0,387.5,176.0
https://www.amazon.fr/dp/B09KBR6K7M,https://m.media-amazon.com/images/I/713P7bVcfYL._AC_UL320_.jpg,"Pixie Disque menstruel souple – Classé 1 pour le disque menstruel le plus doux réutilisable – Tige amovible – Porter pendant 12 heures – Silicone de qualité médicale – Alternative aux tampons, tampons",4.2,Cup,Tampons,549.0,32.57,,0.0,19.16889663389463,2.6923658033169198,23.08213234028098,43.21835200869124,7.969361582927561,2.77150785112406,,445.0,63.0,418.5,79.0,122.0,387.5,164.0
https://www.amazon.fr/dp/B079Q5LPDC,https://m.media-amazon.com/images/I/61lm7STuf4L._AC_UL320_.jpg,"Me Luna Coupe menstruelle Classic, boule, transparent, taille Shorty L",4.5,LUNA,Tampons,14.0,11.13,,0.0,16.47145604430086,11.97512665219707,9.11564136053478,35.43356740174836,7.969361582927561,6.457778382741281,,445.0,82.0,120.0,272.0,388.0,387.5,89.0
https://www.amazon.fr/dp/B086694C6G,https://m.media-amazon.com/images/I/81TBUKK+AAL._AC_UL320_.jpg,"Saalt Coupe menstruelle douce – Super douce et flexible – Meilleure coupe sensible – À porter pendant 12 heures – Fabriquée aux États-Unis (Desert Blush, Taille S)",4.5,saalt,Tampons,2186.0,28.03,,5.67897194864552,9.567484639093859,2.6923658033169198,8.16936206932861,38.627294823025885,7.969361582927561,2.27403610230313,,223.0,215.0,418.5,318.0,191.0,387.5,179.0
https://www.amazon.fr/dp/B073ZGQLXG,https://m.media-amazon.com/images/I/5177u1gev6L._AC_UL320_.jpg,Cup Protect Saforelle,4.1,Saforelle,Tampons,12.0,29.89,,0.0,7.0897305368159,2.6923658033169198,9.29416647450733,35.43356740174836,7.969361582927561,0.0,,445.0,418.5,418.5,267.0,388.0,387.5,430.0
https://www.amazon.fr/dp/B0CBFYPLQY,https://m.media-amazon.com/images/I/41V7BE5ntVL._AC_UL320_.jpg,"Coupe menstruelle douce, design super doux et flexible, coupe menstruelle réutilisable en silicone, à porter pendant 12 heures, petite rose",,nijosa,Tampons,,10.32,,,,,,,,,,,,,,,,
https://www.amazon.fr/dp/B0CBFXVQZM,https://m.media-amazon.com/images/I/41fPAmK47HL._AC_UL320_.jpg,"Coupe menstruelle douce, design super doux et flexible, coupe menstruelle réutilisable en silicone, à porter pendant 12 heures, alternative aux tampons et serviettes hygiéniques, blanc petit",,nijosa,Tampons,,11.67,,,,,,,,,,,,,,,,
https://www.amazon.fr/dp/B079QGT2Z3,https://m.media-amazon.com/images/I/6187BW1lUeL._AC_UL320_.jpg,"Me Luna Coupe menstruelle Classic, boule, transparent, taille L",4.9,LUNA,Tampons,10.0,11.72,,0.0,7.0897305368159,2.6923658033169198,9.529530846891419,35.43356740174836,7.969361582927561,0.0,,445.0,418.5,418.5,257.0,388.0,387.5,430.0
https://www.amazon.fr/dp/B0054SD2BW,https://m.media-amazon.com/images/I/71TfmStq31L._AC_UL320_.jpg,Lunette coupe menstruelle - Violette - Taille 1 (EN Version),4.4,Lunette,Tampons,4483.0,25.0,,0.0,11.62208640985614,2.6923658033169198,8.49222004765631,35.43356740174836,7.969361582927561,1.38657031843252,,445.0,149.0,418.5,303.0,388.0,387.5,220.0
https://www.amazon.fr/dp/B002WN6DBI,https://m.media-amazon.com/images/I/71vmRd9FUPL._AC_UL320_.jpg,"Mooncup® La Cup Originale en Silicone -Taille B, Coupe Menstruelle Réutilisable en Silicone souple pour les moins de 30 ans qui n'ont pas accouché par voie vaginale.",4.2,Mooncup,Tampons,1303.0,30.49,,6.08835232018276,8.860642604922921,2.6923658033169198,13.76798462562205,42.28147506221992,7.969361582927561,1.6253097808120902,,214.0,254.0,418.5,148.0,136.0,387.5,212.0
https://www.amazon.fr/dp/B073ZGWD2F,https://m.media-amazon.com/images/I/31w4FfQUttL._AC_UL320_.jpg,Cup Protect Saforelle,4.0,Saforelle,Tampons,4.0,,,0.0,7.0897305368159,2.6923658033169198,8.60782771052471,35.43356740174836,7.969361582927561,0.0,,445.0,418.5,418.5,300.0,388.0,387.5,430.0
https://www.amazon.fr/dp/B0BH8F5FX8,https://m.media-amazon.com/images/I/51sFnckyFrL._AC_UL320_.jpg,"Mascoto® Disques menstruels nouvelle génération avec boucle, coupe plate, silicone de qualité médicale réutilisable, alternative au tampon et aux tampons ultra confortables, pour les règles sexuelles",4.3,Mascoto,Tampons,42.0,27.94,,5.80571589454379,29.04285568667857,9.375919352808971,17.4353129839429,35.43356740174836,7.969361582927561,3.09971773372504,,219.0,39.0,165.5,104.0,388.0,387.5,152.0
